date,Xingzi,Duchang,Kangshan,Hamashi
2015/1/2,16.77 ,14.72 ,13.75 ,13.19 
2015/1/3,16.96 ,13.36 ,11.25 ,13.39 
2015/1/4,14.24 ,12.38 ,11.08 ,13.72 
2015/1/5,13.31 ,12.51 ,11.94 ,13.31 
2015/1/6,13.14 ,12.79 ,12.38 ,13.00 
2015/1/7,11.13 ,8.59 ,7.97 ,9.03 
2015/1/8,10.60 ,8.55 ,7.77 ,8.86 
2015/1/9,10.52 ,8.47 ,7.82 ,9.49 
2015/1/10,10.57 ,8.83 ,8.23 ,9.53 
2015/1/11,10.68 ,9.48 ,9.14 ,9.88 
2015/1/12,10.94 ,9.66 ,9.64 ,10.41 
2015/1/13,10.28 ,8.77 ,8.98 ,9.49 
2015/1/14,10.09 ,8.45 ,8.79 ,9.19 
2015/1/15,10.10 ,8.41 ,8.61 ,8.99 
2015/1/16,10.08 ,8.37 ,8.48 ,8.96 
2015/1/17,10.52 ,9.03 ,9.12 ,9.51 
2015/1/18,9.56 ,7.82 ,7.65 ,8.27 
2015/1/19,10.15 ,8.89 ,8.81 ,9.34 
2015/1/20,10.38 ,9.10 ,9.18 ,9.48 
2015/1/21,10.48 ,9.25 ,9.36 ,9.67 
2015/1/22,10.34 ,8.74 ,8.97 ,9.11 
2015/1/23,10.53 ,8.93 ,9.21 ,9.24 
2015/1/24,10.94 ,9.49 ,9.67 ,10.03 
2015/1/25,11.72 ,11.09 ,11.44 ,11.56 
2015/1/26,11.59 ,10.19 ,10.30 ,10.29 
2015/1/27,11.63 ,10.37 ,10.58 ,10.42 
2015/1/28,10.11 ,7.46 ,7.35 ,7.98 
2015/1/29,8.90 ,6.16 ,5.88 ,6.96 
2015/1/30,8.15 ,5.33 ,4.63 ,6.34 
2015/1/31,7.66 ,4.48 ,3.90 ,5.80 
2015/2/1,7.33 ,4.65 ,4.25 ,5.83 
2015/2/2,7.49 ,4.99 ,4.74 ,6.00 
2015/2/3,7.53 ,4.88 ,4.93 ,6.22 
2015/2/4,7.82 ,5.01 ,5.46 ,6.45 
2015/2/5,8.07 ,5.51 ,6.31 ,6.85 
2015/2/6,7.80 ,4.74 ,5.61 ,6.35 
2015/2/7,8.52 ,6.48 ,7.46 ,7.49 
2015/2/8,9.29 ,7.01 ,7.96 ,8.05 
2015/2/9,7.77 ,4.90 ,5.50 ,5.97 
2015/2/10,8.11 ,5.98 ,6.51 ,6.78 
2015/2/11,8.74 ,7.18 ,7.44 ,7.99 
2015/2/12,9.69 ,8.14 ,8.61 ,8.71 
2015/2/13,10.10 ,9.06 ,9.84 ,9.70 
2015/2/14,11.28 ,10.19 ,11.11 ,10.50 
2015/2/15,12.02 ,11.83 ,12.85 ,11.63 
2015/2/16,12.74 ,12.21 ,13.46 ,12.21 
2015/2/17,12.96 ,12.19 ,13.56 ,12.30 
2015/2/18,13.42 ,12.80 ,13.97 ,12.58 
2015/2/19,12.54 ,11.16 ,11.78 ,11.31 
2015/2/20,12.66 ,11.72 ,12.02 ,11.64 
2015/2/21,12.65 ,11.90 ,11.61 ,11.78 
2015/2/22,12.77 ,11.50 ,10.99 ,11.32 
2015/2/23,12.91 ,11.52 ,11.09 ,11.43 
2015/2/24,12.77 ,11.49 ,11.18 ,11.42 
2015/2/25,13.19 ,12.64 ,12.56 ,12.65 
2015/2/26,12.93 ,12.12 ,11.86 ,11.92 
2015/2/27,12.79 ,11.76 ,11.92 ,11.86 
2015/2/28,11.79 ,10.48 ,10.83 ,10.40 
2015/3/1,10.86 ,8.88 ,9.55 ,9.38 
2015/3/2,11.07 ,9.97 ,11.99 ,10.85 
2015/3/3,11.15 ,11.56 ,13.70 ,10.90 
2015/3/4,11.47 ,12.76 ,13.13 ,10.82 
2015/3/5,11.52 ,11.76 ,11.25 ,10.60 
2015/3/6,10.72 ,9.75 ,10.45 ,9.82 
2015/3/7,10.74 ,9.56 ,12.24 ,10.39 
2015/3/8,11.37 ,10.99 ,14.34 ,11.09 
2015/3/9,11.75 ,12.96 ,14.89 ,11.40 
2015/3/10,12.36 ,13.62 ,15.12 ,11.78 
2015/3/11,12.22 ,12.34 ,13.29 ,11.75 
2015/3/12,12.76 ,12.33 ,13.43 ,12.26 
2015/3/13,12.83 ,13.38 ,14.34 ,12.70 
2015/3/14,13.81 ,14.63 ,15.60 ,13.58 
2015/3/15,14.50 ,15.68 ,16.19 ,14.11 
2015/3/16,14.89 ,15.68 ,16.18 ,14.36 
2015/3/17,15.96 ,16.41 ,17.28 ,15.66 
2015/3/18,16.91 ,18.18 ,18.59 ,17.30 
2015/3/19,16.91 ,18.87 ,18.26 ,16.89 
2015/3/20,17.27 ,17.74 ,17.45 ,16.59 
2015/3/21,16.77 ,16.83 ,16.66 ,16.50 
2015/3/22,17.03 ,17.16 ,17.48 ,17.20 
2015/3/23,17.12 ,18.11 ,18.33 ,17.35 
2015/3/24,16.89 ,17.78 ,17.62 ,16.47 
2015/3/25,16.56 ,16.51 ,16.43 ,16.07 
2015/3/26,16.81 ,16.55 ,16.92 ,16.97 
2015/3/27,16.22 ,16.74 ,17.08 ,16.22 
2015/3/28,16.53 ,17.21 ,17.51 ,16.62 
2015/3/29,17.33 ,18.46 ,18.55 ,17.40 
2015/3/30,17.57 ,19.13 ,19.01 ,17.68 
2015/3/31,18.30 ,20.02 ,19.46 ,18.37 
2015/4/1,19.40 ,21.39 ,21.00 ,19.78 
2015/4/2,20.35 ,22.97 ,22.44 ,21.13 
2015/4/3,20.59 ,23.59 ,22.38 ,20.95 
2015/4/4,19.69 ,21.67 ,20.53 ,20.42 
2015/4/5,19.36 ,19.91 ,19.49 ,19.78 
2015/4/6,18.09 ,17.80 ,18.24 ,18.63 
2015/4/7,16.65 ,16.18 ,16.56 ,17.04 
2015/4/8,14.82 ,13.85 ,13.87 ,14.76 
2015/4/9,13.88 ,12.82 ,14.84 ,14.46 
2015/4/10,14.45 ,13.07 ,17.08 ,14.13 
