date,Hamashi,Xingzi,Duchang,Kangshan,Banghu
2015/1/2,13.19 ,16.77 ,14.72 ,13.75 ,13.31 
2015/1/3,13.39 ,16.96 ,13.36 ,11.25 ,12.15 
2015/1/4,13.72 ,14.24 ,12.38 ,11.08 ,11.73 
2015/1/5,13.31 ,13.31 ,12.51 ,11.94 ,12.08 
2015/1/6,13.00 ,13.14 ,12.79 ,12.38 ,12.84 
2015/1/7,9.03 ,11.13 ,8.59 ,7.97 ,7.72 
2015/1/8,8.86 ,10.60 ,8.55 ,7.77 ,7.20 
2015/1/9,9.49 ,10.52 ,8.47 ,7.82 ,7.75 
2015/1/10,9.53 ,10.57 ,8.83 ,8.23 ,8.88 
2015/1/11,9.88 ,10.68 ,9.48 ,9.14 ,9.95 
2015/1/12,10.41 ,10.94 ,9.66 ,9.64 ,10.44 
2015/1/13,9.49 ,10.28 ,8.77 ,8.98 ,9.74 
2015/1/14,9.19 ,10.09 ,8.45 ,8.79 ,9.29 
2015/1/15,8.99 ,10.10 ,8.41 ,8.61 ,9.43 
2015/1/16,8.96 ,10.08 ,8.37 ,8.48 ,9.49 
2015/1/17,9.51 ,10.52 ,9.03 ,9.12 ,10.04 
2015/1/18,8.27 ,9.56 ,7.82 ,7.65 ,8.06 
2015/1/19,9.34 ,10.15 ,8.89 ,8.81 ,8.81 
2015/1/20,9.48 ,10.38 ,9.10 ,9.18 ,9.82 
2015/1/21,9.67 ,10.48 ,9.25 ,9.36 ,10.36 
2015/1/22,9.11 ,10.34 ,8.74 ,8.97 ,10.14 
2015/1/23,9.24 ,10.53 ,8.93 ,9.21 ,9.84 
2015/1/24,10.03 ,10.94 ,9.49 ,9.67 ,10.25 
2015/1/25,11.56 ,11.72 ,11.09 ,11.44 ,12.44 
2015/1/26,10.29 ,11.59 ,10.19 ,10.30 ,12.19 
2015/1/27,10.42 ,11.63 ,10.37 ,10.58 ,11.20 
2015/1/28,7.98 ,10.11 ,7.46 ,7.35 ,7.08 
2015/1/29,6.96 ,8.90 ,6.16 ,5.88 ,4.72 
2015/1/30,6.34 ,8.15 ,5.33 ,4.63 ,4.24 
2015/1/31,5.80 ,7.66 ,4.48 ,3.90 ,4.22 
2015/2/1,5.83 ,7.33 ,4.65 ,4.25 ,4.71 
2015/2/2,6.00 ,7.49 ,4.99 ,4.74 ,5.23 
2015/2/3,6.22 ,7.53 ,4.88 ,4.93 ,5.41 
2015/2/4,6.45 ,7.82 ,5.01 ,5.46 ,6.77 
2015/2/5,6.85 ,8.07 ,5.51 ,6.31 ,7.70 
2015/2/6,6.35 ,7.80 ,4.74 ,5.61 ,7.06 
2015/2/7,7.49 ,8.52 ,6.48 ,7.46 ,8.13 
2015/2/8,8.05 ,9.29 ,7.01 ,7.96 ,9.14 
2015/2/9,5.97 ,7.77 ,4.90 ,5.50 ,5.94 
2015/2/10,6.78 ,8.11 ,5.98 ,6.51 ,6.12 
2015/2/11,7.99 ,8.74 ,7.18 ,7.44 ,7.75 
2015/2/12,8.71 ,9.69 ,8.14 ,8.61 ,9.98 
2015/2/13,9.70 ,10.10 ,9.06 ,9.84 ,11.73 
2015/2/14,10.50 ,11.28 ,10.19 ,11.11 ,13.23 
2015/2/15,11.63 ,12.02 ,11.83 ,12.85 ,14.62 
2015/2/16,12.21 ,12.74 ,12.21 ,13.46 ,16.11 
2015/2/17,12.30 ,12.96 ,12.19 ,13.56 ,16.02 
2015/2/18,12.58 ,13.42 ,12.80 ,13.97 ,16.17 
2015/2/19,11.31 ,12.54 ,11.16 ,11.78 ,12.18 
2015/2/20,11.64 ,12.66 ,11.72 ,12.02 ,11.72 
2015/2/21,11.78 ,12.65 ,11.90 ,11.61 ,11.39 
2015/2/22,11.32 ,12.77 ,11.50 ,10.99 ,12.04 
2015/2/23,11.43 ,12.91 ,11.52 ,11.09 ,12.51 
2015/2/24,11.42 ,12.77 ,11.49 ,11.18 ,12.23 
2015/2/25,12.65 ,13.19 ,12.64 ,12.56 ,13.49 
2015/2/26,11.92 ,12.93 ,12.12 ,11.86 ,12.03 
